Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1960	406
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1961	427
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1962	316
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1963	340
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1964	316
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1965	395
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1966	384
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1967	415
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1968	421
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1969	485
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1970	404
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1971	524
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1972	496
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1973	468
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1974	536
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1975	577
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1976	553
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1977	524
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1978	499
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1979	496
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1980	509
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1981	465
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1982	417
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1983	364
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1984	374
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1985	396
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1986	409
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1987	380
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1988	408
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1989	421
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1990	467
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1991	469
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1992	455
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1993	484
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1994	501
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1995	475
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1996	444
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1997	426
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1998	354
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	1999	345
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	2000	329
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	2001	379
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	2002	303
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	2003	299
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	2004	254
Alabama	Violent Crime	Murder and nonnegligent Manslaughter	2005	374
